# index, label, value, _pos
0,BrighamYoung,7,"array([2.43009645, 7.70356141])"
1,FloridaState,0,"array([2.09595951, 7.69660826])"
2,Iowa,2,"array([2.53135906, 7.59714682])"
3,KansasState,3,"array([2.52621692, 7.87691619])"
4,NewMexico,7,"array([2.65959405, 7.75027918])"
5,TexasTech,3,"array([2.64867564, 8.01931231])"
6,PennState,2,"array([2.4600383 , 7.46088971])"
7,SouthernCalifornia,8,"array([2.73294602, 7.59925723])"
8,ArizonaState,8,"array([2.8506327 , 7.65314168])"
9,SanDiegoState,7,"array([2.69122262, 7.63384335])"
10,Baylor,3,"array([2.56526398, 7.96224699])"
11,NorthTexas,5,"array([2.50741767, 7.94521648])"
12,NorthernIllinois,6,"array([2.26251132, 7.43513079])"
13,Northwestern,2,"array([2.38032193, 7.54262452])"
14,WesternMichigan,6,"array([2.40664277, 7.34271718])"
15,Wisconsin,2,"array([2.50581679, 7.52480121])"
16,Wyoming,7,"array([2.59238062, 7.65952959])"
17,Auburn,9,"array([2.30831074, 7.76644572])"
18,Akron,6,"array([2.15895962, 7.3433741 ])"
19,VirginiaTech,1,"array([2.03917702, 7.49911269])"
20,Alabama,9,"array([2.32431499, 7.83387477])"
21,UCLA,8,"array([2.67997806, 7.53946804])"
22,Arizona,8,"array([2.81295797, 7.49542202])"
23,Utah,7,"array([2.72446957, 7.68518974])"
24,ArkansasState,5,"array([2.41451712, 7.93345597])"
25,NorthCarolinaState,0,"array([2.1671364 , 7.71749526])"
26,BallState,6,"array([2.30856917, 7.55499833])"
27,Florida,9,"array([2.17865503, 7.79218605])"
28,BoiseState,5,"array([2.47620034, 7.74882572])"
29,BostonCollege,1,"array([2.13400073, 7.55703935])"
30,WestVirginia,1,"array([2.22369837, 7.58463693])"
31,BowlingGreenState,6,"array([2.24822624, 7.28025769])"
32,Michigan,2,"array([2.52708333, 7.45555482])"
33,Virginia,0,"array([2.04914459, 7.63132211])"
34,Buffalo,6,"array([2.21591026, 7.35679366])"
35,Syracuse,1,"array([2.18343293, 7.54379119])"
36,CentralFlorida,14,"array([2.17163748, 7.61934429])"
37,GeorgiaTech,0,"array([1.97364087, 7.67659741])"
38,CentralMichigan,6,"array([2.37982313, 7.45645285])"
39,Purdue,2,"array([2.48093752, 7.39321954])"
40,Colorado,3,"array([2.69806649, 7.90124151])"
41,ColoradoState,7,"array([2.75073805, 7.7584048 ])"
42,Connecticut,13,"array([2.07507191, 7.54214372])"
43,EasternMichigan,6,"array([2.21002416, 7.46647459])"
44,EastCarolina,4,"array([2.08836342, 7.81722019])"
45,Duke,0,"array([2.03272882, 7.69091477])"
46,FresnoState,10,"array([2.65559897, 7.69322201])"
47,OhioState,2,"array([2.5946939, 7.442    ])"
48,Houston,4,"array([2.31594948, 7.98625788])"
49,Rice,10,"array([2.58103387, 7.8365285 ])"
50,Idaho,5,"array([2.55169167, 7.69820169])"
51,Washington,8,"array([2.65914851, 7.5886601 ])"
52,Kansas,3,"array([2.48627524, 8.01497635])"
53,SouthernMethodist,10,"array([2.4750245 , 7.86420327])"
54,Kent,6,"array([2.32897234, 7.26679937])"
55,Pittsburgh,1,"array([2.16497593, 7.40877756])"
56,Kentucky,9,"array([2.16479073, 7.89450589])"
57,Louisville,4,"array([2.05538684, 7.88512684])"
58,LouisianaTech,16,"array([2.36723435, 7.71449497])"
59,LouisianaMonroe,17,"array([2.27452506, 7.82379875])"
60,Minnesota,2,"array([2.46543408, 7.59061419])"
61,MiamiOhio,6,"array([2.30266504, 7.4660438 ])"
62,Vanderbilt,9,"array([2.12505321, 7.76431441])"
63,MiddleTennesseeState,15,"array([2.26493134, 7.71359638])"
64,Illinois,2,"array([2.56394539, 7.5265421 ])"
65,MississippiState,9,"array([2.25830246, 7.88684581])"
66,Memphis,4,"array([2.16061059, 7.98811024])"
67,Nevada,10,"array([2.69906175, 7.78527883])"
68,Oregon,8,"array([2.74243229, 7.51884924])"
69,NewMexicoState,5,"array([2.40267351, 7.8304558 ])"
70,SouthCarolina,9,"array([2.14676521, 7.82790525])"
71,Ohio,6,"array([2.3797507 , 7.39886876])"
72,IowaState,3,"array([2.52865116, 7.81178536])"
73,SanJoseState,10,"array([2.72695179, 7.83465249])"
74,Nebraska,3,"array([2.58554002, 7.90086371])"
75,SouthernMississippi,4,"array([2.1912946 , 8.04729176])"
76,Tennessee,9,"array([2.09990544, 7.97000802])"
77,Stanford,8,"array([2.78806231, 7.70437644])"
78,WashingtonState,8,"array([2.78675825, 7.63067043])"
79,Temple,1,"array([2.08391968, 7.4329205 ])"
80,Navy,12,"array([2.23886639, 7.64982295])"
81,TexasA&M,3,"array([2.6428161 , 7.94851885])"
82,NotreDame,11,"array([2.44482103, 7.64025638])"
83,TexasElPaso,10,"array([2.64208442, 7.88817032])"
84,Oklahoma,3,"array([2.60113849, 8.07592242])"
85,Toledo,6,"array([2.31895395, 7.37563092])"
86,Tulane,4,"array([2.2120728 , 7.92457854])"
87,Mississippi,9,"array([2.32224446, 7.91347025])"
88,Tulsa,10,"array([2.47080586, 7.80317856])"
89,NorthCarolina,0,"array([2.11501125, 7.61985642])"
90,UtahState,5,"array([2.64034482, 7.83208808])"
91,Army,4,"array([2.21736038, 7.83251396])"
92,Cincinnati,4,"array([2.2422047 , 7.76572708])"
93,AirForce,7,"array([2.50447713, 7.67687278])"
94,Rutgers,1,"array([2.1463587 , 7.47634711])"
95,Georgia,9,"array([2.11020041, 7.89522631])"
96,LouisianaState,9,"array([2.25736847, 8.03208369])"
97,LouisianaLafayette,18,"array([2.38721318, 7.99612295])"
98,Texas,3,"array([2.58017871, 8.01657798])"
99,Marshall,6,"array([2.27678797, 7.33183839])"
100,MichiganState,2,"array([2.44503968, 7.51863519])"
101,MiamiFlorida,1,"array([2.25386855, 7.52563382])"
102,Missouri,3,"array([2.4263875 , 7.88341337])"
103,Clemson,0,"array([2.03163809, 7.77342648])"
104,NevadaLasVegas,7,"array([2.60149532, 7.78582846])"
105,WakeForest,0,"array([1.9615241, 7.7334248])"
106,Indiana,2,"array([2.36766132, 7.61017246])"
107,OklahomaState,3,"array([2.50740986, 8.06630478])"
108,OregonState,8,"array([2.86410191, 7.5792341 ])"
109,Maryland,0,"array([1.99401307, 7.60197861])"
110,TexasChristian,10,"array([2.52867266, 7.75588742])"
111,California,8,"array([2.8052013 , 7.55792376])"
112,AlabamaBirmingham,4,"array([2.216999  , 7.98565651])"
113,Arkansas,9,"array([2.27052697, 7.94631392])"
114,Hawaii,10,"array([2.59871035, 7.7307854 ])"
